Surname,Firstname,Branch,Military Unit,Page No
ABELL,Herbert,Railways Traffic,34th Battalion,2
ADAM,David F,Railways Locomotive,17th Battalion (15th Reinforcements),8
ADSHEAD,William,Railways Traffic,17th Battalion (8th Reinforcements),2
ALDERTON,Edwin T,Tramways Traffic,1st Battalion,21
ALDRED,Charles P,Railways Locomotive,18th Battalion (16th Reinforcements),8
ALEXANDER,Alexander,Railways Permanent Way,2nd Battalion,15
ALLAN,Frederick F,Railways Locomotive,1st Field Artillery Brigade,8
ALLEN,Frederick J,Railways Locomotive,53rd Battalion,8
ALLEN,James,Railways Locomotive,20th Battalion,8
ALLSOPP,Eric,Railways Permanent Way,18th Battalion (7th Reinforcements),15
AMBLER,Walter C C,Railways Traffic,19th Battalion (5th Reinforcements),2
AMOS,Owen A E,Railways Construction,33rd Battalion,20
AMOUR,Percy W,Tramways Electrical,55th Battalion,25
ANDERSON,James A,Railways Permanent Way,18th Battalion,15
ANDERSON,William H,Railways Traffic,45th Battalion,2
ANDREWS,Charles A,Railways Traffic,1st Battalion (16th Reinforcements),2
ANTROBUS,Ernest,Railways Locomotive,13th Battalion,8
ARCHIBALD,Lindsay L,Railways Traffic,2nd Light Horse Regiment,2
ARGALL,Herbert H,Railways Traffic,19th Battalion (5th Reinforcements),2
ARMITAGE,Walter L,Railways Locomotive,3rd Battalion (3rd Reinforcements),8
ARNOLD,Arthur R,Railways Traffic,56th Battalion,2
ARTHURSON,Donald,Railways Traffic,54th Battalion,2
ASHTON,Ernest W,Railways Locomotive,1st Battalion (15th Reinforcements),8
ASHTON,Harold,Railways Locomotive,3rd Battalion (13th Reinforcements),8
ATKINS,Harold J,Railways Chief Accountants,18th Battalion,20
ATKINSON,William,Tramways Traffic,53rd Battalion,21
AUSTIN,Arthur,Railways Locomotive,36th Battalion (3rd Reinforcements),8
AVARD,Allen H,Railways Traffic,35th Battalion (2nd Reinforcements),2
AVERY,Harold,Railways Locomotive,15th Battalion,8
AVERY,John B,Tramways Traffic,14th Field Artillery Brigade,21
AYERS,Charles T,Tramways Traffic,55th Battalion,21
AYRE,John,Railways Traffic,Light Trench Mortar Battery,2
AYRES,George,Railways Permanent Way,Imperial Reservist,15
BAGGE,Robert N,Railways Traffic,55th Battalion,2
BAILEY,Alfred,Tramways Electrical,3rd Battalion,25
